"","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"166",11.677,7.777,6.584,8.201,8.227,7.871,14.531,17.346,10.018,4.954,4.954
"167",9.472,8.713,6.939,8.621,10.179,10.059,12.321,12.872,9.873,4.509,4.509
"168",8.855,4.887,9.058,10.935,14.743,9.426,9.847,14.105,10.556,5.907,4.887
"169",6.391,4.216,7.482,10.572,12.762,12.888,7.376,12.823,11.224,7.723,4.216
"170",8.071,4.516,6.162,10.001,10.567,11.633,5.119,10.053,9.456,8.286,4.516
"171",7.524,6.499,7.753,11.842,7.731,8.61,5.674,10.688,9.348,5.641,5.641
"172",8.675,6.922,8.951,11.187,8.384,8.593,6.87,8.425,7.705,8.298,6.87
"173",5.693,9.134,9.405,9.801,5.007,11.112,7.836,7.641,5.566,7.659,5.007
"174",9.482,7.474,4.709,10.224,4.527,5.078,8.821,9.59,8.167,6.544,4.527
"175",8.566,6.78,6.443,11.262,2.949,5.27,8.924,8.847,8.834,9.166,2.949
"176",10.438,7.224,6.014,10.625,6.021,7.6,7.126,8.48,9.575,9.882,6.014
"177",11.193,9.807,8.811,10.552,2.782,9.668,7.875,7.745,8.717,6.184,2.782
"178",9.23,5.165,9.586,8.206,8.201,9.959,8.08,8.692,9.688,7.437,5.165
"179",14.393,4.737,7.985,9.926,11.213,10.234,10.583,8.585,11.656,8.662,4.737
"180",13.431,4.593,7.343,11.921,9.923,8.424,14.955,7.589,9.326,10.362,4.593
"181",12.235,3.736,8.638,10.359,12.082,4.902,13.864,6.75,11.979,10.048,3.736
"182",10.916,4.643,9.949,11.416,13.112,8.968,10.816,8.736,10.605,10.102,4.643
"183",9.171,8.095,10.496,11.111,12.9,10.453,3.798,6.256,13.862,8.972,3.798
"184",11.666,7.511,10.173,11.617,9.801,9.02,6.082,9.818,14.526,10.514,6.082
"185",8.984,6.269,9.796,9.817,6.352,9.965,8.497,9.615,13.008,11.254,6.269
"186",10.51,6.41,7.522,11.293,5.107,8.162,8.939,10.069,13.792,10.215,5.107
"187",11.375,6.151,4.972,12.586,8.74,7.529,6.93,9.369,12.699,10.374,4.972
"188",12.023,8.045,8.686,12.223,6.318,11.96,5.147,10.112,10.634,9.287,5.147
"189",11.128,9.961,9.798,13.604,6.882,8.691,8.4,8.621,9.547,7.048,6.882
"190",10.767,13.001,11.301,13.433,11.512,9.462,7.329,8.576,7.849,10.558,7.329
"191",11.185,11.405,7.674,11.141,12.782,8.406,5.36,9.066,9.025,11.406,5.36
"192",11.057,8.836,6.645,10.57,11.193,8.816,7.537,10.271,9.349,9.743,6.645
"193",7.583,8.592,10.35,12.355,11.136,9.372,8.904,9.97,8.934,11.635,7.583
"194",6.42,7.926,10.659,11.038,10.259,9.991,9.986,10.773,6.534,13.731,6.42
"195",6.711,7.811,11.319,11.115,8.557,10.716,7.965,9.871,5.389,10.835,5.389
"196",7.508,9.455,12.377,10.886,11.554,10.027,6.885,11.178,5.944,11.361,5.944
"197",7.409,7.591,14.13,10.612,13.578,10.659,10.505,10.096,7.017,10.509,7.017
"198",8.497,11.764,13.543,9.898,13.442,11.713,7.682,11.829,8.485,9.341,7.682
"199",8.984,11.187,12.615,11.781,14.585,10.67,6.811,10.122,9.575,7.804,6.811
"200",8.57,10.524,12.271,11.129,15.013,8.48,9.529,11.965,8.02,8.676,8.02
"201",6.179,9.229,9.674,11.206,13.75,10.269,10.824,10.917,10.151,7.916,6.179
"202",8.782,8.826,9.709,10.885,9.865,9.771,11.689,11.047,11.055,9.597,8.782
"203",9.348,9.278,10.75,9.492,8.423,11.412,10.208,11.669,11.19,9.945,8.423
"204",9.612,10.881,11.724,12.424,6.53,11.558,10.507,12.898,11.415,11.37,6.53
"205",9.41,10.092,14.485,10.871,6.729,11.318,6.611,12.12,10.285,12.714,6.611
"206",6.177,10.113,13.268,13.11,8.326,10.176,8.511,10.571,10.107,11.323,6.177
"207",9.343,10.284,16.673,11.316,4.665,9.74,12.299,10.047,11.141,11.63,4.665
"208",9.946,10.32,12.068,11.602,8.653,11.481,11.116,11.653,9.1,11.473,8.653
"209",9.971,10.693,13.453,11.714,9.554,11.45,10.175,14.594,11.294,11.542,9.554
"210",10.064,11.284,12.036,12.241,11.994,10.627,9.815,13.288,9.599,12.233,9.599
"211",11.276,10.548,12.688,11.724,12.119,10.875,8.351,13.017,7.81,11.23,7.81
"212",11.598,9.942,11.447,11.325,9.284,9.85,8.621,8.857,7.564,11.067,7.564
"213",10.275,10.112,11.094,12.147,10.466,10.107,11.851,10.432,9.382,9.49,9.382
"214",7.64,9.137,11.345,13.022,12.078,8.402,9.152,9.476,10.592,9.168,7.64
"215",8.855,8.222,8.053,12.342,9.607,9.887,8.898,10.157,9.684,9.208,8.053
"216",6.177,7.539,11.039,9.697,10.45,10.937,6.239,10.293,7.662,9.781,6.177
"217",7.026,9.226,11.022,8.009,9.943,12.809,3.889,10.509,10.618,9.687,3.889
"218",6.575,10.549,11.017,10.506,5.841,11.802,4.494,10.094,12.781,10.302,4.494
"219",7.545,9.286,11.672,8.024,5.512,11.045,4.993,11.476,13.254,10.392,4.993
"220",7.702,7.906,10.176,7.889,6.591,11.798,6.978,11.632,9.366,8.358,6.591
"221",5.165,8.374,12.086,8.65,9.442,11.475,7.269,11.21,11.014,8.332,5.165
